project,year,fellow,region,match,corrected
"
              To study mental health tribunal hearings with emphasis on evaluation of overseas jurisdictions comparable to Australia - Canada, USA, Netherlands, Germany, Denmark, Italy, U.K.
",2006,"LESSER, John",Germany,yes,Germany
"
              To study mental health tribunal hearings with emphasis on evaluation of overseas jurisdictions comparable to Australia - Canada, USA, Netherlands, Germany, Denmark, Italy, U.K.
",2006,"LESSER, John",Denmark,yes,Denmark
"
              To study mental health tribunal hearings with emphasis on evaluation of overseas jurisdictions comparable to Australia - Canada, USA, Netherlands, Germany, Denmark, Italy, U.K.
",2006,"LESSER, John",Italy,yes,Italy
"
              To study mental health tribunal hearings with emphasis on evaluation of overseas jurisdictions comparable to Australia - Canada, USA, Netherlands, Germany, Denmark, Italy, U.K.
",2006,"LESSER, John",UK,yes,UK
"
              To study programs that have successfully trained people with disabilities to snorkel and scuba dive and to assist in the establishment of the Australian Disabled Diver's Associations - U.K., Netherlands, France, USA
",2006,"LETCH OAM, Michael",UK,yes,UK
"
              To study programs that have successfully trained people with disabilities to snorkel and scuba dive and to assist in the establishment of the Australian Disabled Diver's Associations - U.K., Netherlands, France, USA
",2006,"LETCH OAM, Michael",Netherlands,yes,Netherlands
"
              To study programs that have successfully trained people with disabilities to snorkel and scuba dive and to assist in the establishment of the Australian Disabled Diver's Associations - U.K., Netherlands, France, USA
",2006,"LETCH OAM, Michael",France,yes,France
"
              To study programs that have successfully trained people with disabilities to snorkel and scuba dive and to assist in the establishment of the Australian Disabled Diver's Associations - U.K., Netherlands, France, USA
",2006,"LETCH OAM, Michael",USA,yes,USA
"
              The 40th Anniversary Churchill Fellowship (TAS) to study advances in museum diorama construction and model making techniques and materials to effectively blend historical techniques with new materials for current application - USA, U.K., Germany, Italy, A
",2006,"LOOKER, Brian",USA,yes,USA
"
              The 40th Anniversary Churchill Fellowship (TAS) to study advances in museum diorama construction and model making techniques and materials to effectively blend historical techniques with new materials for current application - USA, U.K., Germany, Italy, A
",2006,"LOOKER, Brian",UK,yes,UK
"
              The 40th Anniversary Churchill Fellowship (TAS) to study advances in museum diorama construction and model making techniques and materials to effectively blend historical techniques with new materials for current application - USA, U.K., Germany, Italy, A
",2006,"LOOKER, Brian",Germany,yes,Germany
"
              The 40th Anniversary Churchill Fellowship (TAS) to study advances in museum diorama construction and model making techniques and materials to effectively blend historical techniques with new materials for current application - USA, U.K., Germany, Italy, A
",2006,"LOOKER, Brian",Italy,yes,Italy
"
              To investigate the feasibility of establishing an Australian Centre for River Restoration based on overseas models and apply to the A.C.T. as a pilot project - Singapore, U.K., Italy
",2006,"LOVETT, Siwan",Singapore,yes,Singapore
